ObjectID,ProjectID,AssetID,AreaID,Region,DataFormat,Orgnztion,URL,Notes,Contact,Email,FundType,FunderName,FundEnd,FundSec,ProjFocus,PhysFocus,BioFocus,InstiType,AssetType,StudyType,TidalExp,EcoType,Latitude,Longitude,Depth_m_,ProfileMin,ProfileMax,MeasType,MeasFreq,Meas/Yr,MeasPeriod,ProgDur,YearSamp,StartYr,EndYr,Ongoing,DataFreq,DiscSWpCO2,ATMpCO2,DiscSWpH,DiscTA,DiscDIC,SatState,DiscDO,isSWpCO2,isSWpH,isDIC,isDO,CalcPmtrs,Methods,Instrument,Temp,Salinity,Pressure,Turbidity,DOC,OtherPhys,Nutrients,Chlrophyl,Nitrate,Ammonium,Phosphate,Silicate,Iron,BioSamples,BioAbund,BioAdapt,BioBiomass,BioCalc,BioComm,BioDistr,BioDiv,BioEvol,BioFoodweb,BioGrRate,BioPhtosyn,BioRecr,BioSurv,BioMovmnt,BioBehvor,OtherBio,OAHFocus,DisCrbPmtr,ISCrbPmtr
OR970,CMOP SATURN,SATURN-02,,Oregon,point,Oregon Health & Science University,,DO;2012/01 Ð ongoing (May-Oct),Antonio Baptista; Charles Seaton,baptista@ohsu.edu; seatonc@ohsu.edu,,,,,Physical/Biogeochemical,Estuarine Environmental Monitoring,,Academic,Mooring,in situ,No,Estuarine,46.17345,-124.12717,,1,60,continuous,1,1,Year-Round,6,2012-Present,2012,Present,Yes,near real-time;publicly accessible within 1 hour,No,No,No,No,No,No,No,No,No,No,Yes,,in situ sensor,DO: Seabird SBE43 (membrane type DO sensor),Yes,Yes,No,Yes,Yes,Meteorological data;xFDOM,Yes,Yes,Yes,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Phycoerythrin,H,0,0
OR973,CMOP SATURN,SATURN-10,,Oregon,point,Oregon Health & Science University,,DO;2015/09 Ð 2016/11 (Sep-Nov),Antonio Baptista; Charles Seaton,baptista@ohsu.edu; seatonc@ohsu.edu,,,,,Physical/Biogeochemical,Estuarine Environmental Monitoring,,Academic,Mooring,in situ,No,Estuarine,46.2152,-124.0626,4,,,continuous,1,1,Year-Round,2,2015-2016,2015,Present,Yes,near real-time;publicly accessible within 1 hour,No,No,No,No,No,No,No,No,No,No,Yes,,in situ sensor,DO: Seabird SBE43 (membrane type DO sensor),Yes,Yes,No,Yes,No,Meteorological data,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR971,CMOP SATURN,SATURN-07,,Oregon,point,Oregon Health & Science University,,DO;2012/05 Ð ongoing,Antonio Baptista; Charles Seaton,baptista@ohsu.edu; seatonc@ohsu.edu,,,,,Physical/Biogeochemical,Estuarine Environmental Monitoring,,Academic,Mooring,in situ,No,Estuarine,46.286,-124.01513,1,,,continuous,10,10,Year-Round,6,2012-Present,2012,Present,Yes,near real-time;publicly accessible within 1 hour,No,No,No,No,No,No,No,No,No,No,Yes,,in situ sensor,DO: Seabird SBE43 (membrane type DO sensor),Yes,Yes,No,Yes,Yes,xFDOM,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR972,CMOP SATURN,SATURN-09,,Oregon,point,Oregon Health & Science University,,DO;2014/05 Ð ongoing,Antonio Baptista; Charles Seaton,baptista@ohsu.edu; seatonc@ohsu.edu,,,,,Physical/Biogeochemical,Estuarine Environmental Monitoring,,Academic,Mooring,in situ,No,Estuarine,46.17649,-123.86927,0.5,,,continuous,10,10,Year-Round,4,2014-Present,2014,Present,Yes,near real-time;publicly accessible within 1 hour,No,No,No,No,No,No,No,No,No,No,Yes,,in situ sensor,DO: Seabird SBE43 (membrane type DO sensor),Yes,Yes,No,Yes,Yes,xFDOM,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
CA129,CeNCOOS shore-based observing stations,Morro Bay BM1,,California,point,Cal Poly San Luis Obispo,http://www.cencoos.org/data/shore/morro,,Ryan Walter,rkwalter@calpoly.edu,,,,,Physical/Biogeochemical & Biological,,,Academic,Shoreside Sensor,in situ,No,Nearshore,35.370933,-120.859308,0,,,continuous,15,15,Year-Round,10,2007 - Present,2007,Present,Yes,real-time to CeNCOSS website,No,No,No,No,No,No,No,No,No,No,Yes,,,"SeaBird CTD (37), WetLabs ECONTU, Aanderaa DO Optode",Yes,Yes,Yes,Yes,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR943,Marine Reserves Oceanographic Monitoring,Redfish Rocks 2010,Redfish Rocks Marine Reserve,Oregon,polygon,Oregon Department of Fish and Wildlife - Marine Reserves,,,Jessica Watson,Jessica.L.Watson@coho2.dfw.state.or.us,,,,,Physical/Biogeochemical,Oceanographic Characterization,,Agency,Mooring,in situ,No,Nearshore; Intertidal,42.70093,-124.4732,20,,,continuous,15,15,April-December,2,2010-2011,2010,2011,No,5 weeks,No,No,No,No,No,No,No,No,No,No,Yes,,,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Fish; Shellfish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,fluorescence; visual surveys,H,0,0
OR944,Marine Reserves Oceanographic Monitoring,Otter Rock 2010,Otter Rock Marine Reserve Area,Oregon,polygon,Oregon Department of Fish and Wildlife - Marine Reserves,,,Jessica Watson,Jessica.L.Watson@coho2.dfw.state.or.us,,,,,Physical/Biogeochemical,Oceanographic Characterization,,Agency,Mooring,in situ,No,Nearshore; Intertidal,44.73762,-124.062,20,,,continuous,15,15,April-December,2,2010-2012,2011,2012,No,5 weeks,No,No,No,No,No,No,No,No,No,No,Yes,,,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Fish; Shellfish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,fluorescence; visual surveys,H,0,0
OR945,Marine Reserves Oceanographic Monitoring,Redfish Rocks 2011,,Oregon,polygon,Oregon Department of Fish and Wildlife - Marine Reserves,Redfish Rocks Marine Reserve,Instruments are hard to retrieve and maintain. Operation ceased uuntil re-evaluation,Jessica Watson,Jessica.L.Watson@coho2.dfw.state.or.us,,,,,Physical/Biogeochemical,Oceanographic Characterization,,Agency,Mooring,in situ,No,Nearshore; Intertidal,42.70093,-124.4732,20,,,continuous,15,15,April-December,1,2011-2013,2011,2013,No,6 - 12 weeks,No,No,No,No,No,No,No,No,No,No,Yes,,,Seabird Electronics16 CTD,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Fish; Shellfish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,fluorescence; visual surveys,H,0,0
OR939,ODFW Telemetry,Cape Perpetua,,Oregon,point,Oregon Department of Fish and Wildlife - At Sea Research,,,Polly Rankin,polly.s.rankin@state.or.us,,,2010,Not pursuing continued funding,Physical/Biogeochemical & Biological,Oceanographic Characterization,Fish Behavior and Distribution,Agency,Mooring,in situ,No,Nearshore,44.2676,-124.1693,20,,,continuous,15,15,May-September,1,2010,2010,2010,No,Monthly,No,No,No,No,No,No,Yes,No,No,No,Yes,,,Seabird Electronics16+ CTD w/Seabird Electronics 43 DO,Yes,Yes,Yes,No,No,,No,No,No,No,No,No,No,Fish,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,H,0,0
OR940,ODFW Telemetry,Stonewall Bank,,Oregon,point,Oregon Department of Fish and Wildlife - At Sea Research,,,Polly Rankin,polly.s.rankin@state.or.us,,,2012,Not pursuing continued funding,Physical/Biogeochemical & Biological,Oceanographic Characterization,Fish Behavior and Distribution,Agency,Mooring,in situ,No,Nearshore,44.5967,-124.4183,20,,,continuous,15,15,May-October,1,2012,2012,2012,No,Monthly,No,No,No,No,No,No,Yes,No,No,No,Yes,,,Seabird Electronics16+ CTD w/Seabird Electronics 43 DO,Yes,Yes,Yes,No,No,,No,No,No,No,No,No,No,Fish,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,H,0,0
