"","ProjectID","AssetID","Jurisdiction","DataFormat","Institutions","URL","Notes","Contact","Email","ProjFocus","PhysFocus","BioFocus","InstiType","AssetType","StudyType","TidalExp","EcoType","Latitude","Longitude","LatitudeEnd","LongitudeEnd","Depth","DepthMin","DepthMinBin","DepthMax","DepthMaxBin","MeasType","Meas/Yr","MeasFreq","MeasPeriod","ProgDur","YearSamp","StartYr","EndYr","Ongoing","Frequency","DiscSWpCO2","ATMpCO2","DiscSWpH","DiscTA","DiscDIC","SatState","DiscDO","isSWpCO2","isSWpH","isDIC","isDO","CalcParams","Methods","Instruments","Temperature","Salinity","Pressure","Turbidity","DOC","OtherPhys","Nutrients","Chlorophyll","Nitrate","Ammonium","Phosphate","Silicate","Iron","BioSamples","BioAbund","BioAdapt","BioBiomass","BioCalc","BioComm","BioDistr","BioDiv","BioEvol","BioFoodweb","BioGrowthRate","BioPhotosyn","BioRecr","BioSurvival","BioMovmnt","BioBehavior","OtherBio","OAHFocus","ISCarbPmtr","DiscCarbPmtr"
"1","2007 West Coast OA Cruise","WCOA2007 - 1-1","West Coast","point","National Ocean and Atmospheric Administration - Pacific Marine Environmental Laboratory",NA,NA,"Dr. Richard Feely","richard.a.feely@noaa.gov","Physical/Biogeochemical & Biological","Oceanographic Characterization","Plankton Distribution","Agency","Cruise Station","Cruise","No","Nearshore; Open Ocean; Deep Sea",50.72,-132.82,NA,NA,NA,"10","10m","53",">30m","spot",0.6667,"Once",NA,"1","2007","2007","2007","No",NA,"Yes","No","No","Yes","Yes","No","Yes","No","No","No","Yes",NA,"Deep cast rosette; underway optical sensors","Seabird 24-position carousel s/n 471; 9plus CTD s/n 315;
primary 3plus temperature sensor s/n 03P-4569 (stations 1-34) and 03P-4335 (stations 35-111);
primary 4C conductivity sensor s/n 04-3157 (stations 1-34) and 04-2887 (stations 35-111);
secondary 3plus temperature sensor s/n 03P-4341 and secondary 4C conductivity sensor s/n 04-
3068; and oxygen s/n 43-0313 (stations 1-34) and 43-0315 (stations 35-111)","Yes","Yes","Yes","No","Yes","Total Carbon; Ar and O2 isotopes",NA,"Yes","Yes","Yes","Yes","Yes","No","None","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","CDOM","OAH",0,3
"2","2007 West Coast OA Cruise","WCOA2007 - 1-2","West Coast","point","National Ocean and Atmospheric Administration - Pacific Marine Environmental Laboratory",NA,NA,"Dr. Richard Feely","richard.a.feely@noaa.gov","Physical/Biogeochemical & Biological","Oceanographic Characterization","Plankton Distribution","Agency","Cruise Station","Cruise","No","Nearshore; Open Ocean; Deep Sea",51.02,-132.18,NA,NA,NA,"10","10m","53",">30m","spot",0.6667,"Once",NA,"1","2007","2007","2007","No",NA,"Yes","No","No","Yes","Yes","No","Yes","No","No","No","Yes",NA,"Deep cast rosette; underway optical sensors","Seabird 24-position carousel s/n 471; 9plus CTD s/n 315;
primary 3plus temperature sensor s/n 03P-4569 (stations 1-34) and 03P-4335 (stations 35-111);
primary 4C conductivity sensor s/n 04-3157 (stations 1-34) and 04-2887 (stations 35-111);
secondary 3plus temperature sensor s/n 03P-4341 and secondary 4C conductivity sensor s/n 04-
3068; and oxygen s/n 43-0313 (stations 1-34) and 43-0315 (stations 35-111)","Yes","Yes","Yes","No","Yes","Total Carbon; Ar and O2 isotopes",NA,"Yes","Yes","Yes","Yes","Yes","No","None","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","CDOM","OAH",0,3
"3","2007 West Coast OA Cruise","WCOA2007 - 1-3","West Coast","point","National Ocean and Atmospheric Administration - Pacific Marine Environmental Laboratory",NA,NA,"Dr. Richard Feely","richard.a.feely@noaa.gov","Physical/Biogeochemical & Biological","Oceanographic Characterization","Plankton Distribution","Agency","Cruise Station","Cruise","No","Nearshore; Open Ocean; Deep Sea",51.31,-131.54,NA,NA,NA,"10","10m","53",">30m","spot",0.6667,"Once",NA,"1","2007","2007","2007","No",NA,"Yes","No","No","Yes","Yes","No","Yes","No","No","No","Yes",NA,"Deep cast rosette; underway optical sensors","Seabird 24-position carousel s/n 471; 9plus CTD s/n 315;
primary 3plus temperature sensor s/n 03P-4569 (stations 1-34) and 03P-4335 (stations 35-111);
primary 4C conductivity sensor s/n 04-3157 (stations 1-34) and 04-2887 (stations 35-111);
secondary 3plus temperature sensor s/n 03P-4341 and secondary 4C conductivity sensor s/n 04-
3068; and oxygen s/n 43-0313 (stations 1-34) and 43-0315 (stations 35-111)","Yes","Yes","Yes","No","Yes","Total Carbon; Ar and O2 isotopes",NA,"Yes","Yes","Yes","Yes","Yes","No","None","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","CDOM","OAH",0,3
"4","2007 West Coast OA Cruise","WCOA2007 - 1-4","West Coast","point","National Ocean and Atmospheric Administration - Pacific Marine Environmental Laboratory",NA,NA,"Dr. Richard Feely","richard.a.feely@noaa.gov","Physical/Biogeochemical & Biological","Oceanographic Characterization","Plankton Distribution","Agency","Cruise Station","Cruise","No","Nearshore; Open Ocean; Deep Sea",51.6,-130.88,NA,NA,NA,"10","10m","53",">30m","spot",0.6667,"Once",NA,"1","2007","2007","2007","No",NA,"Yes","No","No","Yes","Yes","No","Yes","No","No","No","Yes",NA,"Deep cast rosette; underway optical sensors","Seabird 24-position carousel s/n 471; 9plus CTD s/n 315;
primary 3plus temperature sensor s/n 03P-4569 (stations 1-34) and 03P-4335 (stations 35-111);
primary 4C conductivity sensor s/n 04-3157 (stations 1-34) and 04-2887 (stations 35-111);
secondary 3plus temperature sensor s/n 03P-4341 and secondary 4C conductivity sensor s/n 04-
3068; and oxygen s/n 43-0313 (stations 1-34) and 43-0315 (stations 35-111)","Yes","Yes","Yes","No","Yes","Total Carbon; Ar and O2 isotopes",NA,"Yes","Yes","Yes","Yes","Yes","No","None","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","CDOM","OAH",0,3
"5","2007 West Coast OA Cruise","WCOA2007 - 1-5","West Coast","point","National Ocean and Atmospheric Administration - Pacific Marine Environmental Laboratory",NA,NA,"Dr. Richard Feely","richard.a.feely@noaa.gov","Physical/Biogeochemical & Biological","Oceanographic Characterization","Plankton Distribution","Agency","Cruise Station","Cruise","No","Nearshore; Open Ocean; Deep Sea",51.71,-130.63,NA,NA,NA,"10","10m","53",">30m","spot",0.6667,"Once",NA,"1","2007","2007","2007","No",NA,"Yes","No","No","Yes","Yes","No","Yes","No","No","No","Yes",NA,"Deep cast rosette; underway optical sensors","Seabird 24-position carousel s/n 471; 9plus CTD s/n 315;
primary 3plus temperature sensor s/n 03P-4569 (stations 1-34) and 03P-4335 (stations 35-111);
primary 4C conductivity sensor s/n 04-3157 (stations 1-34) and 04-2887 (stations 35-111);
secondary 3plus temperature sensor s/n 03P-4341 and secondary 4C conductivity sensor s/n 04-
3068; and oxygen s/n 43-0313 (stations 1-34) and 43-0315 (stations 35-111)","Yes","Yes","Yes","No","Yes","Total Carbon; Ar and O2 isotopes",NA,"Yes","Yes","Yes","Yes","Yes","No","None","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","CDOM","OAH",0,3
"6","2007 West Coast OA Cruise","WCOA2007 - 1-6","West Coast","point","National Ocean and Atmospheric Administration - Pacific Marine Environmental Laboratory",NA,NA,"Dr. Richard Feely","richard.a.feely@noaa.gov","Physical/Biogeochemical & Biological","Oceanographic Characterization","Plankton Distribution","Agency","Cruise Station","Cruise","No","Nearshore; Open Ocean; Deep Sea",51.83,-130.37,NA,NA,NA,"10","10m","53",">30m","spot",0.6667,"Once",NA,"1","2007","2007","2007","No",NA,"Yes","No","No","Yes","Yes","No","Yes","No","No","No","Yes",NA,"Deep cast rosette; underway optical sensors","Seabird 24-position carousel s/n 471; 9plus CTD s/n 315;
primary 3plus temperature sensor s/n 03P-4569 (stations 1-34) and 03P-4335 (stations 35-111);
primary 4C conductivity sensor s/n 04-3157 (stations 1-34) and 04-2887 (stations 35-111);
secondary 3plus temperature sensor s/n 03P-4341 and secondary 4C conductivity sensor s/n 04-
3068; and oxygen s/n 43-0313 (stations 1-34) and 43-0315 (stations 35-111)","Yes","Yes","Yes","No","Yes","Total Carbon; Ar and O2 isotopes",NA,"Yes","Yes","Yes","Yes","Yes","No","None","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","CDOM","OAH",0,3
"7","2007 West Coast OA Cruise","WCOA2007 - 1-7","West Coast","point","National Ocean and Atmospheric Administration - Pacific Marine Environmental Laboratory",NA,NA,"Dr. Richard Feely","richard.a.feely@noaa.gov","Physical/Biogeochemical & Biological","Oceanographic Characterization","Plankton Distribution","Agency","Cruise Station","Cruise","No","Nearshore; Open Ocean; Deep Sea",52.02,-129.97,NA,NA,NA,"10","10m","53",">30m","spot",0.6667,"Once",NA,"1","2007","2007","2007","No",NA,"Yes","No","No","Yes","Yes","No","Yes","No","No","No","Yes",NA,"Deep cast rosette; underway optical sensors","Seabird 24-position carousel s/n 471; 9plus CTD s/n 315;
primary 3plus temperature sensor s/n 03P-4569 (stations 1-34) and 03P-4335 (stations 35-111);
primary 4C conductivity sensor s/n 04-3157 (stations 1-34) and 04-2887 (stations 35-111);
secondary 3plus temperature sensor s/n 03P-4341 and secondary 4C conductivity sensor s/n 04-
3068; and oxygen s/n 43-0313 (stations 1-34) and 43-0315 (stations 35-111)","Yes","Yes","Yes","No","Yes","Total Carbon; Ar and O2 isotopes",NA,"Yes","Yes","Yes","Yes","Yes","No","None","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","CDOM","OAH",0,3
"8","Axial Seamount Cabled Shallow Profiler","OOI RS03AXPS","Oregon","point","Ocean Observatories Intiative","http://oceanobservatories.org/cruise-data/","Phytoplankton measured using WET LABS ac-5","Deborah Kelley","dskelley@u.washington.edu","Physical/Biogeochemical","Oceanographic Characterization",NA,"Academic","Mooring","in situ","No","Open Ocean",45.8305,-129.7535,NA,NA,NA,NA,"5m","200",">100m","continuous",1460,"< 6 hours","Year-Round","3","2015-Present","2015","Present","Yes",NA,"No","No","No","No","No","No","No","Yes","Yes","No","Yes",NA,NA,NA,"Yes","Yes","Yes","Yes","No","CDOM;PAR;Velocity",NA,"Yes","Yes","No","No","No","No","Phytoplankton","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"OAH",2,0
"9","2007 West Coast OA Cruise","WCOA2007 - 2-9","West Coast","point","National Ocean and Atmospheric Administration - Pacific Marine Environmental Laboratory",NA,NA,"Dr. Richard Feely","richard.a.feely@noaa.gov","Physical/Biogeochemical & Biological","Oceanographic Characterization","Plankton Distribution","Agency","Cruise Station","Cruise","No","Nearshore; Open Ocean; Deep Sea",48.28,-129.45,NA,NA,NA,"10","10m","53",">30m","spot",0.6667,"Once",NA,"1","2007","2007","2007","No",NA,"Yes","No","No","Yes","Yes","No","Yes","No","No","No","Yes",NA,"Deep cast rosette; underway optical sensors","Seabird 24-position carousel s/n 471; 9plus CTD s/n 315;
primary 3plus temperature sensor s/n 03P-4569 (stations 1-34) and 03P-4335 (stations 35-111);
primary 4C conductivity sensor s/n 04-3157 (stations 1-34) and 04-2887 (stations 35-111);
secondary 3plus temperature sensor s/n 03P-4341 and secondary 4C conductivity sensor s/n 04-
3068; and oxygen s/n 43-0313 (stations 1-34) and 43-0315 (stations 35-111)","Yes","Yes","Yes","No","Yes","Total Carbon; Ar and O2 isotopes",NA,"Yes","Yes","Yes","Yes","Yes","No","None","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","CDOM","OAH",0,3
"10","2007 West Coast OA Cruise","WCOA2007 - 1-8","West Coast","point","National Ocean and Atmospheric Administration - Pacific Marine Environmental Laboratory",NA,NA,"Dr. Richard Feely","richard.a.feely@noaa.gov","Physical/Biogeochemical & Biological","Oceanographic Characterization","Plankton Distribution","Agency","Cruise Station","Cruise","No","Nearshore; Open Ocean; Deep Sea",52.23,-129.45,NA,NA,NA,"10","10m","53",">30m","spot",0.6667,"Once",NA,"1","2007","2007","2007","No",NA,"Yes","No","No","Yes","Yes","No","Yes","No","No","No","Yes",NA,"Deep cast rosette; underway optical sensors","Seabird 24-position carousel s/n 471; 9plus CTD s/n 315;
primary 3plus temperature sensor s/n 03P-4569 (stations 1-34) and 03P-4335 (stations 35-111);
primary 4C conductivity sensor s/n 04-3157 (stations 1-34) and 04-2887 (stations 35-111);
secondary 3plus temperature sensor s/n 03P-4341 and secondary 4C conductivity sensor s/n 04-
3068; and oxygen s/n 43-0313 (stations 1-34) and 43-0315 (stations 35-111)","Yes","Yes","Yes","No","Yes","Total Carbon; Ar and O2 isotopes",NA,"Yes","Yes","Yes","Yes","Yes","No","None","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","CDOM","OAH",0,3
